Area,Compactness,Length of kernel,Asymmetry coefficient,Wheat Type
15.26,0.871,5.763,2.221,Kama
14.88,0.8811,5.554,1.018,Kama
14.29,0.905,5.291,2.699,Kama
13.84,0.8955,5.324,2.259,Kama
16.14,0.9034,5.658,1.355,Kama
14.38,0.8951,5.386,2.462,Kama
14.69,0.8799,5.563,3.586,Kama
14.11,0.8911,5.42,2.7,Kama
16.44,0.888,5.884,1.969,Kama
15.26,0.8696,5.714,4.543,Kama
14.03,0.8796,5.438,1.717,Kama
13.89,0.888,5.439,3.986,Kama
13.78,0.8759,5.479,3.136,Kama
13.74,0.8744,5.482,2.932,Kama
14.59,0.8993,5.351,4.185,Kama
13.99,0.9183,5.119,5.234,Kama
15.69,0.9058,5.527,1.599,Kama
14.7,0.9153,5.205,1.767,Kama
12.72,0.8686,5.226,4.102,Kama
14.16,0.8584,5.658,3.072,Kama
14.11,0.8722,5.52,2.688,Kama
15.88,0.8988,5.618,0.7651,Kama
12.08,0.8664,5.099,1.415,Kama
15.01,0.8657,5.789,1.791,Kama
13.02,0.8641,5.395,3.373,Kama
12.74,0.8564,5.395,2.504,Kama
14.11,0.882,5.541,2.754,Kama
13.45,0.8604,5.516,3.531,Kama
13.16,0.8662,5.454,0.8551,Kama
15.49,0.8724,5.757,3.412,Kama
14.09,0.8529,5.717,3.92,Kama
13.94,0.8728,5.585,2.124,Kama
15.05,0.8779,5.712,2.129,Kama
16.12,0.9,5.709,2.27,Kama
16.2,0.8734,5.826,2.823,Kama
14.8,0.8823,5.656,3.112,Kama
14.28,0.8944,5.397,6.685,Kama
13.54,0.8871,5.348,2.587,Kama
13.5,0.8852,5.351,2.249,Kama
13.16,0.9009,5.138,2.461,Kama
15.5,0.882,5.877,4.711,Kama
15.11,0.8986,5.579,3.128,Kama
13.8,0.8794,5.376,1.56,Kama
15.36,0.8861,5.701,1.367,Kama
14.99,0.8883,5.57,2.958,Kama
14.79,0.8819,5.545,2.704,Kama
14.86,0.8676,5.678,2.129,Kama
14.43,0.8751,5.585,3.975,Kama
15.78,0.8923,5.674,5.593,Kama
14.49,0.8538,5.715,4.116,Kama
14.33,0.8831,5.504,3.328,Kama
14.52,0.8557,5.741,1.481,Kama
15.03,0.8658,5.702,1.933,Kama
14.46,0.8818,5.388,2.802,Kama
14.92,0.9006,5.384,1.142,Kama
15.38,0.8857,5.662,1.999,Kama
12.11,0.8392,5.159,1.502,Kama
12.36,0.8923,5.076,3.22,Kama
13.22,0.868,5.395,4.157,Kama
12.78,0.8716,5.262,1.176,Kama
12.88,0.8879,5.139,2.352,Kama
14.34,0.8726,5.63,1.313,Kama
14.01,0.8625,5.609,2.217,Kama
14.37,0.8726,5.569,1.464,Kama
12.73,0.8458,5.412,3.533,Rosa
16.84,0.8623,5.998,4.675,Rosa
17.26,0.8763,5.978,4.539,Rosa
19.11,0.9081,6.154,2.936,Rosa
16.82,0.8786,6.017,4.004,Rosa
16.77,0.8638,5.927,4.92,Rosa
17.32,0.8599,6.064,3.824,Rosa
20.71,0.8763,6.579,4.451,Rosa
18.94,0.875,6.445,5.064,Rosa
17.12,0.8892,5.85,2.858,Rosa
16.53,0.8823,5.875,5.532,Rosa
18.72,0.8977,6.006,5.324,Rosa
