Area,Perimeter,Length of kernel,Width of kernel,Compactness,Asymmetry coefficient,Length of kernel groove,Wheat Type
11.23,12.63,4.902,2.879,0.884,2.269,4.703,Kama
12.36,13.19,5.076,3.042,0.8923,3.22,4.605,Kama
12.72,13.57,5.226,3.049,0.8686,4.102,4.914,Kama
12.74,13.67,5.395,2.956,0.8564,2.504,4.869,Kama
12.88,13.5,5.139,3.119,0.8879,2.352,4.607,Kama
13.02,13.76,5.395,3.026,0.8641,3.373,4.825,Kama
13.22,13.84,5.395,3.07,0.868,4.157,5.088,Kama
13.45,14.02,5.516,3.065,0.8604,3.531,5.097,Kama
13.5,13.85,5.351,3.158,0.8852,2.249,5.176,Kama
13.54,13.85,5.348,3.156,0.8871,2.587,5.178,Kama
13.74,14.05,5.482,3.114,0.8744,2.932,4.825,Kama
13.78,14.06,5.479,3.156,0.8759,3.136,4.872,Kama
13.84,13.94,5.324,3.379,0.8955,2.259,4.805,Kama
13.89,14.02,5.439,3.199,0.888,3.986,4.738,Kama
13.94,14.17,5.585,3.15,0.8728,2.124,5.012,Kama
14.01,14.29,5.609,3.158,0.8625,2.217,5.132,Kama
14.09,14.41,5.717,3.186,0.8529,3.92,5.299,Kama
14.11,14.1,5.42,3.302,0.8911,2.7,5,Kama
14.11,14.26,5.52,3.168,0.8722,2.688,5.219,Kama
14.11,14.18,5.541,3.221,0.882,2.754,5.038,Kama
14.16,14.4,5.658,3.129,0.8584,3.072,5.176,Kama
14.33,14.28,5.504,3.199,0.8831,3.328,5.224,Kama
14.38,14.21,5.386,3.312,0.8951,2.462,4.956,Kama
14.43,14.4,5.585,3.272,0.8751,3.975,5.144,Kama
14.46,14.35,5.388,3.377,0.8818,2.802,5.044,Kama
14.49,14.61,5.715,3.113,0.8538,4.116,5.396,Kama
14.59,14.28,5.351,3.333,0.8993,4.185,4.781,Kama
14.69,14.49,5.563,3.259,0.8799,3.586,5.219,Kama
14.79,14.52,5.545,3.291,0.8819,2.704,5.111,Kama
14.8,14.52,5.656,3.288,0.8823,3.112,5.309,Kama
14.86,14.67,5.678,3.258,0.8676,2.129,5.351,Kama
14.99,14.56,5.57,3.377,0.8883,2.958,5.175,Kama
15.05,14.68,5.712,3.328,0.8779,2.129,5.36,Kama
15.11,14.54,5.579,3.462,0.8986,3.128,5.18,Kama
15.26,14.84,5.763,3.312,0.871,2.221,5.22,Kama
15.26,14.85,5.714,3.242,0.8696,4.543,5.314,Kama
15.49,14.94,5.757,3.371,0.8724,3.412,5.228,Kama
15.5,14.86,5.877,3.396,0.882,4.711,5.528,Kama
16.12,15,5.709,3.485,0.9,2.27,5.443,Kama
16.2,15.27,5.826,3.464,0.8734,2.823,5.527,Kama
16.63,15.46,6.053,3.465,0.8747,2.04,5.877,Kama
13.16,13.55,5.138,3.201,0.9009,2.461,4.783,Kama
14.29,14.09,5.291,3.337,0.905,2.699,4.825,Kama
17.08,15.38,5.832,3.683,0.9079,2.956,5.484,Kama
14.28,14.17,5.397,3.298,0.8944,6.685,5.001,Kama
14.92,14.43,5.384,3.412,0.9006,1.142,5.088,Kama
15.69,14.75,5.527,3.514,0.9058,1.599,5.046,Kama
15.78,14.91,5.674,3.434,0.8923,5.593,5.136,Kama
13.99,13.83,5.119,3.383,0.9183,5.234,4.781,Kama
14.7,14.21,5.205,3.466,0.9153,1.767,4.649,Kama
12.73,13.75,5.412,2.882,0.8458,3.533,5.067,Rosa
15.38,14.9,5.884,3.268,0.8706,4.462,5.795,Rosa
15.56,14.89,5.776,3.408,0.8823,4.972,5.847,Rosa
15.57,15.15,5.92,3.231,0.8527,2.64,5.752,Rosa
15.6,15.11,5.832,3.286,0.858,2.725,5.922,Rosa
16.16,15.33,5.845,3.395,0.8644,4.266,5.795,Rosa
16.17,15.38,5.762,3.387,0.8588,4.286,5.703,Rosa
16.23,15.18,5.872,3.472,0.885,3.769,5.395,Rosa
16.41,15.25,5.718,3.525,0.8866,4.217,5.618,Rosa
16.77,15.62,5.927,3.438,0.8638,4.92,5.795,Rosa
16.82,15.51,6.017,3.486,0.8786,4.004,5.841,Rosa
16.84,15.67,5.998,3.484,0.8623,4.675,5.877,Rosa
16.87,15.65,6.139,3.463,0.8648,3.696,5.967,Rosa
17.12,15.55,5.85,3.566,0.8892,2.858,5.746,Rosa
17.26,15.73,5.978,3.594,0.8763,4.539,5.791,Rosa
17.32,15.91,6.064,3.403,0.8599,3.824,5.922,Rosa
17.36,15.76,6.145,3.574,0.8785,3.526,5.879,Rosa
17.63,15.86,6.033,3.573,0.88,3.747,5.929,Rosa
17.98,15.85,5.979,3.687,0.8993,2.257,5.919,Rosa
17.99,15.86,5.89,3.694,0.8992,2.068,5.837,Rosa
18.45,16.12,6.107,3.769,0.8921,2.235,5.794,Rosa
18.75,16.18,6.111,3.869,0.8999,4.188,5.992,Rosa
18.83,16.29,6.037,3.786,0.8917,2.553,5.879,Rosa
18.94,16.32,6.144,3.825,0.8942,2.908,5.949,Rosa
19.38,16.72,6.303,3.791,0.8716,3.678,5.965,Rosa
15.99,14.89,5.363,3.582,0.9064,3.336,5.144,Rosa
18.3,15.89,5.979,3.755,0.9108,2.837,5.962,Rosa
18.43,15.97,5.98,3.771,0.9077,2.984,5.905,Rosa
18.89,16.23,6.227,3.769,0.9008,3.639,5.966,Rosa
18.96,16.2,6.051,3.897,0.9077,4.334,5.75,Rosa
19.13,16.31,6.183,3.902,0.9035,2.109,5.924,Rosa
17.55,15.66,5.791,3.69,0.8991,5.366,5.661,Rosa
18.72,16.19,6.006,3.857,0.8977,5.324,5.879,Rosa
10.59,12.41,4.899,2.787,0.8648,4.975,4.794,Canadian
10.8,12.57,4.981,2.821,0.859,4.773,5.063,Canadian
11.18,12.72,5.009,2.81,0.868,4.051,4.828,Canadian
11.23,12.88,5.14,2.795,0.8511,4.325,5.003,Canadian
11.27,12.97,5.088,2.763,0.8419,4.309,5,Canadian
11.27,12.86,5.091,2.804,0.8563,3.985,5.001,Canadian
11.34,12.87,5.053,2.849,0.8596,3.347,5.22,Canadian
11.41,12.95,5.09,2.775,0.856,4.957,4.825,Canadian
11.84,13.21,5.175,2.836,0.8521,3.598,5.044,Canadian
11.87,13.02,5.132,2.953,0.8795,3.597,5.132,Canadian
12.02,13.33,5.35,2.81,0.8503,4.271,5.046,Canadian
12.05,13.41,5.267,2.847,0.8416,4.988,5.176,Canadian
12.1,13.15,5.105,2.941,0.8793,2.201,5.27,Canadian
12.11,13.27,5.236,2.975,0.8639,4.132,5.012,Canadian
12.15,13.45,5.417,2.837,0.8443,3.638,5.132,Canadian
12.19,13.2,5.137,2.981,0.8783,3.631,4.87,Canadian
12.19,13.36,5.24,2.909,0.8579,4.857,5.158,Canadian
12.37,13.47,5.204,2.96,0.8567,3.919,5.001,Canadian
12.44,13.59,5.319,2.897,0.8462,4.924,5.338,Canadian
12.46,13.41,5.236,3.017,0.8706,4.987,5.147,Canadian
12.49,13.46,5.267,2.967,0.8658,4.421,5.316,Canadian
12.54,13.67,5.451,2.879,0.8425,3.082,5.308,Canadian
12.55,13.57,5.333,2.968,0.8558,4.419,5.049,Canadian
12.62,13.67,5.41,2.911,0.8481,3.306,5.231,Canadian
12.67,13.32,4.984,3.135,0.8977,2.3,4.745,Canadian
12.7,13.71,5.386,2.911,0.8491,3.26,5.194,Canadian
12.76,13.38,5.073,3.155,0.8964,2.828,4.83,Canadian
12.8,13.47,5.16,3.126,0.886,4.873,4.914,Canadian
13.37,13.78,5.32,3.128,0.8849,4.67,5.091,Canadian
