Area,Perimeter,Compactness,Length of kernel,Width of kernel,Asymmetry coefficient,Length of kernel groove,Wheat Type
12.36,13.19,0.8923,5.076,3.042,3.22,4.605,Kama
12.72,13.57,0.8686,5.226,3.049,4.102,4.914,Kama
12.74,13.67,0.8564,5.395,2.956,2.504,4.869,Kama
13.02,13.76,0.8641,5.395,3.026,3.373,4.825,Kama
13.22,13.84,0.868,5.395,3.07,4.157,5.088,Kama
13.45,14.02,0.8604,5.516,3.065,3.531,5.097,Kama
13.54,13.85,0.8871,5.348,3.156,2.587,5.178,Kama
13.74,14.05,0.8744,5.482,3.114,2.932,4.825,Kama
13.78,14.06,0.8759,5.479,3.156,3.136,4.872,Kama
13.89,14.02,0.888,5.439,3.199,3.986,4.738,Kama
14.09,14.41,0.8529,5.717,3.186,3.92,5.299,Kama
14.11,14.1,0.8911,5.42,3.302,2.7,5,Kama
14.11,14.26,0.8722,5.52,3.168,2.688,5.219,Kama
14.11,14.18,0.882,5.541,3.221,2.754,5.038,Kama
14.16,14.4,0.8584,5.658,3.129,3.072,5.176,Kama
14.33,14.28,0.8831,5.504,3.199,3.328,5.224,Kama
14.43,14.4,0.8751,5.585,3.272,3.975,5.144,Kama
14.46,14.35,0.8818,5.388,3.377,2.802,5.044,Kama
14.49,14.61,0.8538,5.715,3.113,4.116,5.396,Kama
14.59,14.28,0.8993,5.351,3.333,4.185,4.781,Kama
14.69,14.49,0.8799,5.563,3.259,3.586,5.219,Kama
14.79,14.52,0.8819,5.545,3.291,2.704,5.111,Kama
14.8,14.52,0.8823,5.656,3.288,3.112,5.309,Kama
14.99,14.56,0.8883,5.57,3.377,2.958,5.175,Kama
15.11,14.54,0.8986,5.579,3.462,3.128,5.18,Kama
15.26,14.85,0.8696,5.714,3.242,4.543,5.314,Kama
15.49,14.94,0.8724,5.757,3.371,3.412,5.228,Kama
15.5,14.86,0.882,5.877,3.396,4.711,5.528,Kama
16.17,15.38,0.8588,5.762,3.387,4.286,5.703,Rosa
16.23,15.18,0.885,5.872,3.472,3.769,5.395,Rosa
16.41,15.25,0.8866,5.718,3.525,4.217,5.618,Rosa
17.12,15.55,0.8892,5.85,3.566,2.858,5.746,Rosa
15.38,14.9,0.8706,5.884,3.268,4.462,5.795,Rosa
15.56,14.89,0.8823,5.776,3.408,4.972,5.847,Rosa
15.57,15.15,0.8527,5.92,3.231,2.64,5.752,Rosa
15.6,15.11,0.858,5.832,3.286,2.725,5.922,Rosa
16.16,15.33,0.8644,5.845,3.395,4.266,5.795,Rosa
16.53,15.34,0.8823,5.875,3.467,5.532,5.88,Rosa
16.77,15.62,0.8638,5.927,3.438,4.92,5.795,Rosa
16.82,15.51,0.8786,6.017,3.486,4.004,5.841,Rosa
16.84,15.67,0.8623,5.998,3.484,4.675,5.877,Rosa
